ID,Rock,Origin,Transplant,Length,SA,Protein,Volume,CaCO3,Lipids,BW,Pct SA,Pct Protein,Pct Volume,Pct Lipids,Pct BW,PARQ3,TempQ3
FF21,FR5,Flat,Shallow,2.5,-11.94595088,56.09512345,5.23916716,5.497605263,,3.565,-51.39900211,129.8627093,134.1346978,NA,150.5489865,922,27.4
FF22,FR3,Flat,Shallow,1.6,15.25899331,42.96099331,2.708557745,3.492868421,2.833333333,2.265,65.65379661,99.45661299,69.3452916,119.6215139,106.088993,922,27.4
FF23,FR3,Flat,Shallow,2.6,22.45147075,37.81358295,2.68738224,4.803657895,2.833333333,3.115,96.60036309,87.54012875,68.8031501,124.1035857,184.2105263,922,27.4
FF24,FR1,Flat,Shallow,1.2,15.25569573,50.69538906,2.150111148,4.128215789,2.833333333,2.677,65.63960836,117.3620836,55.04777768,124.1035857,155.9114735,922,27.4
FF25,FR4,Flat,Shallow,1.6,6.968229608,69.37799198,3.947013012,4.296305263,1.833333333,2.786,29.98171112,160.6131415,101.0525874,29.08366534,100.0718391,922,27.4
FF26,FR2,Flat,Shallow,2.5,23.31307879,69.90123235,2.872186647,5.014926316,6.5,3.252,100.3075434,161.8244663,73.53456686,200.1494024,132.7346939,922,27.4
FF27,FR4,Flat,Shallow,0.7,14.44258967,32.34213541,2.34431884,3.553010526,-1.5,2.304,62.14111412,74.87348398,60.0199401,21.9123506,126.9421488,922,27.4
FF28,FR3,Flat,Shallow,3.2,19.13328932,50.254486,3.632579781,4.583136842,1.5,2.972,82.32345741,116.3413734,93.00237541,75.69721116,131.9715808,922,27.4
FF29,FR1,Flat,Shallow,2.3,16.43091975,57.92779278,2.98462737,4.408878947,0.833333333,2.859,70.69616203,134.1054204,76.41330729,17.1314741,142.95,922,27.4
FF30,FR5,Flat,Shallow,2,23.56242044,55.60906768,4.121541442,4.971747368,1.166666667,3.224,101.3803682,128.7374685,105.5209156,86.75298805,143.2888889,922,27.4
FF31,FR3,Flat,Shallow,1.7,15.61037221,56.67148467,2.750908755,4.168310526,4.833333333,2.703,67.16564989,131.1970112,70.42957461,168.9243028,139.6177686,922,27.4
FF32,FR1,Flat,Shallow,0.5,14.6803539,43.12566794,3.44421263,3.491326316,0.833333333,2.264,63.16412553,99.83784211,88.17974424,79.28286853,71.62290414,922,27.4
FF33,FR2,Flat,Shallow,1.8,20.32951621,41.33018321,3.155168396,4.416589474,1.166666667,2.864,87.47037865,95.68121499,80.77954878,79.28286853,130.4189435,922,27.4
FF36,FR4,Flat,Shallow,1.4,3.150254283,28.57985121,1.86552958,3.289310526,3.833333333,2.133,13.55437739,66.1636285,47.76183671,141.5836653,92.41767764,922,27.4
FF37,FR5,Flat,Shallow,0.9,25.54541221,84.9981779,3.462539683,4.418131579,3.166666667,2.865,109.9124473,196.7745677,88.64895882,126.9422311,139.1452161,922,27.4
FF38,FR3,Flat,Shallow,2.1,22.2771062,67.46564138,3.556540468,4.371868421,5.5,2.835,95.85013702,156.1859647,91.05559455,172.5099602,112.4553749,922,27.4
FF39,FR2,Flat,Shallow,3,16.41759421,81.10707564,3.879238981,4.569257895,,2.963,70.63882718,187.7664926,99.31741676,NA,111.2237237,922,27.4
FF40,FR2,Flat,Shallow,1.8,8.376421213,35.29034258,2.228947934,4.034147368,2.166666667,2.616,36.04063803,81.6987149,57.06618025,109.1633466,156.3658099,922,27.4
FF41,FR2,Flat,Shallow,1.3,-0.12857004,51.35939968,0.75316176,4.226910526,1.166666667,2.741,-0.553189264,118.8992978,19.28266878,86.75298805,124.5343026,922,27.4
FF42,FR3,Flat,Shallow,1.9,11.02628198,83.40189636,2.60941788,5.260121053,3.5,3.411,47.44200745,193.0791048,66.80708365,129.4820717,139.7378124,922,27.4
FF43,FR5,Flat,Shallow,2.6,15.15437951,37.81358295,2.984801833,4.128215789,,2.677,65.20368219,87.54012875,76.41777395,NA,152.1022727,922,27.4
FF44,FR4,Flat,Shallow,1.1,5.841747048,39.44704908,1.254063777,2.647794737,0.5,1.717,25.13487389,91.3216756,32.10690948,68.37649402,92.31182796,922,27.4
FF45,FR3,Flat,Shallow,2.7,23.09269921,80.46962544,3.150015209,5.002589474,1.5,3.244,99.35933168,186.290767,80.64761537,86.45418327,174.1277509,922,27.4
FF46,FR5,Flat,Shallow,-7,27.52417398,71.71530938,4.147529562,5.494521053,-0.666666667,3.563,118.4263263,166.0241354,106.1862711,0.996015936,178.4176264,922,27.4
FF48,FR2,Flat,Shallow,2.3,15.05217308,57.67015665,2.995389585,4.205321053,6.166666667,2.727,64.76392578,133.5089813,76.6888447,180.876494,129.5486936,922,27.4
FF49,FR4,Flat,Shallow,2.1,22.11918487,37.19738109,3.101921124,4.370326316,-0.666666667,2.834,95.17066002,86.113594,79.41629648,-8.715139442,153.9380771,922,27.4
FF50,FR5,Flat,Shallow,2.6,13.31495372,45.9543532,3.897980376,5.014926316,-1.666666667,3.252,57.28931428,106.3863745,99.79723947,-19.47211155,154.7834365,922,27.4
